video_name,segment_name,video_id,segment_url
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Introduction,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=0s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Exercise routine,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=91s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Advice to younger self,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=462s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Jungian shadow,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=896s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Betrayal and loyalty,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=1182s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Drama,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=2392s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Chimp Empire,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=3451s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Overt vs covert contracts,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=3744s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Age and health,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=4111s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Sexual selection,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=4479s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Relationships,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=5115s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Fertility,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=5869s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Productivity,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=6495s
"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393",Family,eTBAxD6lt2g,https://www.youtube.com/watch?v=eTBAxD6lt2g&t=7502s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Introduction,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=0s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Stages of life,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=75s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Identity,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=817s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Enlightenment,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=1212s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Adaptive Resonance Theory,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=1603s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Panpsychism,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=2011s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",How to think,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=2611s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Plants communication,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=3085s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Fame,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=4160s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Happiness,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=5697s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Artificial consciousness,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=6135s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Suffering,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=6863s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Eliezer Yudkowsky,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=7148s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",e/acc (Effective Accelerationism),e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=7604s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Mind uploading,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=7941s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Vision Pro,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=8591s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Open source AI,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=8845s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Twitter,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=9617s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Advice for young people,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=10053s
"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans | Lex Fridman Podcast #392",Meaning of life,e8qJsk1j2zE,https://www.youtube.com/watch?v=e8qJsk1j2zE&t=10229s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Introduction,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=0s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Palestine,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=138s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Hate,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=1607s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Antisemitism,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=2418s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Peace in the Middle East,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=2894s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,West Bank,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=3311s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Hamas,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=3920s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Two-state solution,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=4508s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Jerusalem,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=5458s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Role of the US,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=5861s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Ghassan Kanafani,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=5971s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,2024 Elections,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=6616s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Poetry,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=6685s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Language,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=7245s
Mohammed El-Kurd: Palestine | Lex Fridman Podcast #391,Hope,34wA_bdG6QQ,https://www.youtube.com/watch?v=34wA_bdG6QQ&t=7754s
